# Quartus Pin Planner CSV for T-Core
# Generated from T-Core_User_Manual.pdf
To,Location
ADC_CLK_10,PIN_N5
MAX10_CLK1_50,PIN_P11
MAX10_CLK2_50,PIN_N14
KEY[0],PIN_AB9
KEY[1],PIN_AA9
SW[0],PIN_AB16
SW[1],PIN_Y16
SW[2],PIN_V16
SW[3],PIN_AB17
LED[0],PIN_AA16
LED[1],PIN_AB15
LED[2],PIN_AA15
LED[3],PIN_AA14
TMD_D[0],PIN_AB8
TMD_D[1],PIN_AA8
TMD_D[2],PIN_AA5
TMD_D[3],PIN_AB5
TMD_D[4],PIN_AB7
TMD_D[5],PIN_AA7
TMD_D[6],PIN_AB6
TMD_D[7],PIN_AA6
ADC_IN[0],PIN_F5
ADC_IN[1],PIN_F4
ADC_IN[2],PIN_J8
ADC_IN[3],PIN_J9
ADC_IN[4],PIN_J4
ADC_IN[5],PIN_H3
ADC_IN[6],PIN_K5
ADC_IN[7],PIN_K6
QSPI_FLASH_DATA[0],PIN_P21
QSPI_FLASH_DATA[1],PIN_P18
QSPI_FLASH_DATA[2],PIN_R18
QSPI_FLASH_DATA[3],PIN_P20
QSPI_FLASH_SCLK,PIN_P19
QSPI_FLASH_CEN,PIN_L22
